Category,Family Name,Crop,Crop Type,Variety,Planting Method,Harvest Stage,GH Sow Date,Days to 1st potting up,1st Potting up date,Days to 2nd Potting up,2nd Potting up date,Days to 3rd Potting up,3rd Potting up date,Days In Greenhouse,Field Sowing Planting Date,DTM,Harvest Window,First Harvest,Last Harvest,Planting Amount,Location,In-Row Spacing,In-Row Spacing Unit,Rows Per Bed,# Of Flats,Flat/pot type,Seeds per cell,Estimated loss,Total Transplants,Total Seed Needed,Average seed weight,Average seed weight unit,Total Weight Needed,Total Weight Needed Unit,Extra Seed %,Seed spec,1st Potting up flat/pot type,1st Potting up plants per cell/pot,1st Potting up # of flats/pots,2nd Potting up flat/pot type,2nd Potting up plants per cell/pot,2nd Potting up # of flats/pots,3rd Potting up flat/pot type,3rd Potting up plants per cell/pot,3rd Potting up # of flats/pots,Harvest Unit,Avg Yield Rate,Avg. Sales Price,Est. Yield,Est. Revenue,Est. Rev./unit,Growing Cycle,Rootstock,Harvest Season,First Fruiting Year,Between row spacing,Notes,Seeder,Front gear,Rear gear,Roller plate
Flowers,Asteraceae,Dahlias,Mid Blooming,Giant Hybrid Mix (seed),Greenhouse Sow,,04/14/2020,,,,,,,,05/11/2020,58,60,07/08/2020,09/06/2020,40 bed ft.,"Goat Field,GH,Block FLR,Beds 1",12.0,in,4,2.4,72 cell flats,2,6,169.6,346,0,,0.00,,0.00,,,,,,,,,,,Stems,20.000 st/pl,$20.00/bn,"3,200.0 Stems","$6,400.00",$40.00/plant,Annual,,,,,,,,,
Flowers,Asteraceae,Dahlias,Mid Blooming,Café Au Lait (XL),Direct Sow,,,,,,,,,,05/02/2020,90,60,07/31/2020,09/29/2020,8 plants,"The Back Field,MCB,Block FLR,Beds 3",16.0,in,3,0.0,,,,,8,0,,0.00,,0.00,,,,,,,,,,,Stems,20.000 st/pl,$5.00/st,160.0 Stems,$800.00,$74.77/plant,Annual,,,,,,,,,
Flowers,Asteraceae,Dahlias,Mid Blooming,Shiloh Noelle (XL 10”),Direct Sow,,,,,,,,,,05/02/2020,90,60,07/31/2020,09/29/2020,5 plants,"The Back Field,MCB,Block FLR,Beds 3",16.0,in,3,0.0,,,,,5,0,,0.00,,0.00,,,,,,,,,,,Stems,20.000 st/pl,$5.00/st,100.0 Stems,$500.00,$74.63/plant,Annual,,,,,,,,,
Flowers,Asteraceae,Dahlias,Mid Blooming,Hamari Gold (XL 10”),Direct Sow,,,,,,,,,,05/02/2020,90,60,07/31/2020,09/29/2020,5 plants,"The Back Field,MCB,Block FLR,Beds 3",16.0,in,3,0.0,,,,,5,0,,0.00,,0.00,,,,,,,,,,,Stems,20.000 st/pl,$5.00/st,100.0 Stems,$500.00,$74.63/plant,Annual,,,,,,,,,
Flowers,Asteraceae,Dahlias,Mid Blooming,Penhill Watermelon (XL 10”),Direct Sow,,,,,,,,,,05/02/2020,90,60,07/31/2020,09/29/2020,4 bed ft.,"The Back Field,MCB,Block FLR,Beds 3",16.0,in,3,0.0,,,,,9,0,,0.00,,0.00,,,,,,,,,,,Stems,20.000 st/pl,$5.00/st,180.0 Stems,$900.00,$75.00/plant,Annual,,,,,,,,,
Flowers,Asteraceae,Dahlias,Mid Blooming,Otto’s Thrill (XL),Direct Sow,,,,,,,,,,05/02/2020,90,60,07/31/2020,09/29/2020,8 plants,"The Back Field,MCB,Block FLR,Beds 3",16.0,in,3,0.0,,,,,8,0,,0.00,,0.00,,,,,,,,,,,Stems,0.000 st/row ft,$0.00/st,0.0 ,$0.00,$0.00/row ft.,Annual,,,,,,,,,
Flowers,Asteraceae,Dahlias,Mid Blooming,Lucky Number,Direct Sow,,,,,,,,,,05/02/2020,90,60,07/31/2020,09/29/2020,3 plants,"The Back Field,MCB,Block FLR,Beds 3",16.0,in,3,0.04,,,,,3,0,,0.00,,0.00,,,,,,,,,,,Stems,20.000 st/pl,$16.00/bn,60.0 Stems,$96.00,$24.00/plant,Annual,,,,,,,,,
Flowers,Asteraceae,Dahlias,Mid Blooming,Eye Opener Blend,Direct Sow,,,,,,,,,,05/02/2020,90,60,07/31/2020,09/29/2020,3 plants,"The Back Field,MCB,Block FLR,Beds 3",16.0,in,3,0.04,,,,,3,0,,0.00,,0.00,,,,,,,,,,,Stems,20.000 st/pl,$16.00/bn,60.0 Stems,$96.00,$24.00/plant,Annual,,,,,,,,,
Flowers,Asteraceae,Dahlias,Mid Blooming,Noordwijks Glorie,Direct Sow,,,,,,,,,,05/02/2020,90,60,07/31/2020,09/29/2020,3 plants,"The Back Field,MCB,Block FLR,Beds 3",16.0,in,3,0.04,,,,,3,0,,0.00,,0.00,,,,,,,,,,,Stems,20.000 st/pl,$16.00/bn,60.0 Stems,$96.00,$24.00/plant,Annual,,,,,,,,,
Flowers,Asteraceae,Dahlias,Mid Blooming,Black Satin (Sm 2-4”),Direct Sow,,,,,,,,,,05/03/2020,90,60,08/01/2020,09/30/2020,5 plants,"The Back Field,MCB,Block FLR,Beds 3",16.0,in,3,0.0,,,,,5,0,,0.00,,0.00,,,,,,,,,,,Stems,20.000 st/pl,$16.00/bn,100.0 Stems,$160.00,$23.88/plant,Annual,,,,,,,,,
